Category,Image,<32,32-64,64-128,128-256,>256
train,103_15_0.jpg,0,0,0,1,0
train,100_10_1.jpg,0,0,0,1,0
train,103_16_0.jpg,0,0,0,1,0
train,100_12_0.jpg,0,0,0,1,0
train,103_17_0.jpg,0,0,0,1,0
train,100_13_0.jpg,0,0,0,1,0
train,103_19_0.jpg,0,0,0,1,0
train,100_1_0.jpg,0,0,0,1,0
train,103_20_0.jpg,0,0,0,1,0
train,100_25_0.jpg,0,0,0,1,0
train,103_1_0.jpg,0,0,0,1,0
train,100_2_0.jpg,0,0,0,1,0
train,103_22_1.jpg,0,0,0,1,0
train,100_36_3.jpg,0,0,0,1,0
train,103_23_0.jpg,0,0,0,1,0
train,100_3_0.jpg,0,0,0,1,0
train,103_38_0.jpg,0,0,0,1,0
train,100_43_0.jpg,0,0,0,1,0
train,103_3_0.jpg,0,0,0,1,0
train,100_44_0.jpg,0,0,0,1,0
train,103_40_0.jpg,0,0,0,1,0
train,100_45_1.jpg,0,0,0,1,0
train,103_42_0.jpg,0,0,0,1,0
train,100_47_0.jpg,0,0,0,1,0
train,103_43_0.jpg,0,0,0,1,0
train,100_4_0.jpg,0,0,0,1,0
train,103_46_0.jpg,0,0,0,1,0
train,100_55_0.jpg,0,0,0,1,0
train,103_49_0.jpg,0,0,0,1,0
train,100_56_1.jpg,0,0,0,1,0
train,103_4_0.jpg,0,0,0,1,0
train,100_57_1.jpg,0,0,0,1,0
train,103_50_0.jpg,0,0,0,1,0
train,100_5_0.jpg,0,0,0,1,0
train,103_55_0.jpg,0,0,0,1,0
train,100_7_0.jpg,0,0,0,1,0
train,103_56_2.jpg,0,0,0,1,0
train,100_9_1.jpg,0,0,0,1,0
train,103_5_0.jpg,0,0,0,1,0
train,101_13_0.jpg,0,0,0,1,0
train,103_62_0.jpg,0,0,0,1,0
train,101_25_0.jpg,0,0,0,1,0
train,103_63_0.jpg,0,0,0,1,0
train,101_26_0.jpg,0,0,0,1,0
train,103_65_0.jpg,0,0,0,1,0
train,101_27_0.jpg,0,0,0,1,0
train,103_66_1.jpg,0,0,0,1,0
train,101_28_0.jpg,0,0,0,1,0
train,103_69_0.jpg,0,0,0,1,0
train,101_39_0.jpg,0,0,0,1,0
train,103_6_0.jpg,0,0,0,1,0
train,101_3_0.jpg,0,0,0,1,0
train,103_70_0.jpg,0,0,0,1,0
train,101_69_0.jpg,0,0,0,1,0
train,103_71_0.jpg,0,0,0,1,0
train,101_6_0.jpg,0,0,0,1,0
train,103_73_0.jpg,0,0,0,1,0
train,101_84_0.jpg,0,0,0,1,0
train,103_75_0.jpg,0,0,0,1,0
train,101_85_0.jpg,0,0,0,1,0
train,103_8_0.jpg,0,0,0,1,0
train,101_90_0.jpg,0,0,0,1,0
train,103_9_0.jpg,0,0,0,1,0
train,101_9_0.jpg,0,0,0,1,0
train,104_10_0.jpg,0,0,0,1,0
train,102_10_0.jpg,0,0,0,1,0
train,104_11_0.jpg,0,0,0,1,0
train,102_14_0.jpg,0,0,0,1,0
train,104_23_0.jpg,0,0,0,1,0
train,102_17_0.jpg,0,0,0,1,0
train,104_28_0.jpg,0,0,0,1,0
train,102_1_0.jpg,0,0,0,1,0
train,104_3_0.jpg,0,0,0,1,0
train,102_21_1.jpg,0,0,0,1,0
train,104_58_0.jpg,0,0,0,1,0
train,102_22_0.jpg,0,0,0,1,0
train,104_68_0.jpg,0,0,0,1,0
train,102_25_0.jpg,0,0,0,1,0
train,104_71_1.jpg,0,0,0,1,0
