Category,ID,Gender
train,p0003,1
train,p0007,0
train,p0008,1
train,p0010,1
train,p0011,1
train,p0014,0
train,p0017,0
train,p0021,1
train,p0025,0
train,p0026,1
train,p0031,1
train,p0032,0
train,p0033,0
train,p0034,1
train,p0035,0
train,p0037,1
train,p0039,0
train,p0040,0
train,p0042,0
train,p0043,0
train,p0046,1
train,p0048,0
train,p0049,0
train,p0050,1
train,p0051,1
train,p0053,0
train,p0055,0
train,p0058,1
train,p0060,1
train,p0061,0
train,p0062,0
train,p0067,0
train,p0068,1
train,p0070,0
train,p0071,1
train,p0074,1
train,p0076,1
train,p0078,1
train,p0079,0
train,p0082,1
train,p0084,0
train,p0090,0
train,p0093,0
train,p0098,0
train,p0100,1
train,p0103,1
train,p0110,1
train,p0111,1
train,p0112,1
train,p0114,1
train,p0115,1
train,p0117,1
train,p0118,0
train,p0128,1
train,p0130,1
train,p0132,1
train,p0136,1
train,p0137,1
train,p0138,0
train,p0139,0
train,p0140,0
train,p0142,0
train,p0152,1
train,p0157,0
train,p0158,0
train,p0161,1
train,p0164,1
train,p0165,1
train,p0169,0
train,p0170,1
train,p0173,0
train,p0174,0
train,p0176,1
train,p0178,1
train,p0179,1
train,p0180,0
train,p0182,0
train,p0184,0
train,p0185,1
train,p0189,0
train,p0191,0
train,p0194,0
train,p0197,0
train,p0198,0
train,p0203,1
train,p0209,1
train,p0215,0
train,p0216,1
train,p0219,0
train,p0222,1
train,p0223,0
train,p0227,0
train,p0231,0
train,p0232,1
train,p0234,1
train,p0241,1
train,p0243,1
train,p0244,1
train,p0248,1
train,p0251,1
train,p0254,0
train,p0257,1
train,p0262,0
train,p0265,1
train,p0275,1
train,p0281,0
train,p0282,0
train,p0283,0
train,p0284,0
train,p0289,1
train,p0291,1
train,p0292,0
train,p0294,1
train,p0295,1
train,p0296,0
train,p0299,1
train,p0300,0
train,p0303,0
train,p0305,1
train,p0306,1
train,p0308,1
train,p0309,1
train,p0311,1
train,p0315,1
train,p0316,0
train,p0320,0
train,p0321,1
train,p0323,1
train,p0327,0
train,p0328,1
train,p0330,1
train,p0331,1
train,p0333,1
train,p0335,0
train,p0338,1
train,p0342,1
train,p0345,0
train,p0346,0
train,p0357,0
train,p0360,1
train,p0363,0
train,p0364,0
train,p0365,1
train,p0367,0
train,p0373,0
train,p0375,1
train,p0380,1
train,p0381,1
train,p0383,0
train,p0384,1
train,p0385,0
train,p0386,1
train,p0387,1
train,p0390,0
train,p0391,0
train,p0392,1
train,p0398,1
train,p0400,1
train,p0401,0
train,p0402,1
train,p0405,1
train,p0406,1
train,p0407,1
train,p0411,1
train,p0413,1
train,p0416,0
train,p0419,0
train,p0424,1
train,p0425,1
train,p0426,1
train,p0427,1
train,p0431,1
train,p0436,1
train,p0441,0
train,p0442,1
train,p0445,0
train,p0451,1
train,p0453,1
train,p0455,1
train,p0456,1
train,p0457,0
train,p0462,0
train,p0463,0
train,p0468,0
train,p0469,1
train,p0470,0
train,p0473,0
train,p0476,0
train,p0479,0
train,p0480,1
train,p0481,0
train,p0487,1
train,p0488,1
train,p0490,0
train,p0495,0
train,p0496,0
train,p0505,1
train,p0509,1
train,p0510,1
train,p0511,1
train,p0513,1
train,p0517,1
train,p0518,1
train,p0519,1
train,p0523,0
train,p0529,0
train,p0531,1
train,p0533,1
train,p0539,1
train,p0540,1
train,p0542,1
train,p0546,0
train,p0549,0
train,p0550,1
train,p0556,0
train,p0558,1
train,p0559,1
train,p0561,1
train,p0563,1
train,p0566,1
train,p0568,0
train,p0578,0
train,p0582,1
train,p0584,0
train,p0585,0
train,p0586,0
train,p0589,0
train,p0593,1
train,p0594,1
train,p0599,0
train,p0600,1
train,p0602,0
train,p0603,1
train,p0606,1
train,p0607,1
train,p0609,1
train,p0613,0
train,p0614,1
train,p0616,1
train,p0617,1
train,p0619,0
train,p0620,1
train,p0629,0
train,p0637,1
train,p0645,1
