Category,ID,Gender
train,127,1
train,000,1
train,128,1
train,002,1
train,129,1
train,003,0
train,130,0
train,004,0
train,132,1
train,005,0
train,131,1
train,007,0
train,133,1
train,010,1
train,135,1
train,013,0
train,015,1
train,018,1
train,021,1
train,022,1
train,027,1
train,030,0
train,034,1
train,035,1
train,036,1
train,039,1
train,040,0
train,043,1
train,044,0
train,045,0
train,047,1
train,048,1
train,050,1
train,051,0
train,053,0
train,054,0
train,056,0
train,061,0
train,064,0
train,066,0
train,069,0
train,070,1
train,071,1
train,075,0
train,076,0
train,081,0
train,085,1
train,086,1
train,087,1
train,088,1
train,089,1
train,091,1
train,092,1
train,093,1
train,094,1
train,095,0
train,096,1
train,097,1
train,098,1
train,100,1
train,103,1
train,109,1
train,111,1
train,115,1
train,116,1
train,117,0
train,122,1
train,123,1
train,124,1
train,136,1
train,138,0
train,140,0
train,144,0
train,146,0
train,149,0
train,150,0
train,151,0
