Category,Image,R_LA_5,R_LAC_5,R_A_5,N_LA_5,N_LAC_5,N_A_5,R_LA_10,R_LAC_10,R_A_10,N_LA_10,N_LAC_10,N_A_10,R_LA_15,R_LAC_15,R_A_15,N_LA_15,N_LAC_15,N_A_15,R_LA_20,R_LAC_20,R_A_20,N_LA_20,N_LAC_20,N_A_20,R_LA_25,R_LAC_25,R_A_25,N_LA_25,N_LAC_25,N_A_25,R_LA_30,R_LAC_30,R_A_30,N_LA_30,N_LAC_30,N_A_30,R_LA_35,R_LAC_35,R_A_35,N_LA_35,N_LAC_35,N_A_35,R_LA_40,R_LAC_40,R_A_40,N_LA_40,N_LAC_40,N_A_40
train,000_1_c10_001003,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,13.0,3.0,1.0,1.0,15.0,16.0,15.0,1.0,22.0,4.0,19.0,22.0,12.0,25.0,22.0,14.0,28.0,28.0,25.0,25.0,19.0,17.0,19.0,30.0,21.0,21.0,24.0,7.0,21.0,25.0,24.0,35.0
train,000_1_c10_001007,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,11.0,1.0,4.0,4.0,5.0,5.0,7.0,1.0,14.0,18.0,1.0,12.0,20.0,26.0,17.0,22.0,2.0,33.0,2.0,14.0,7.0,17.0,3.0,1.0,8.0
train,000_1_c10_001008,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,11.0,1.0,4.0,4.0,5.0,5.0,7.0,1.0,14.0,18.0,1.0,12.0,20.0,30.0,32.0,3.0,2.0,33.0,2.0,3.0,13.0,9.0,3.0,1.0,8.0
train,000_1_c10_001009,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,11.0,1.0,4.0,4.0,5.0,5.0,7.0,1.0,14.0,18.0,1.0,12.0,20.0,26.0,32.0,22.0,2.0,33.0,2.0,14.0,13.0,17.0,3.0,1.0,8.0
train,000_1_c10_001010,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,13.0,3.0,1.0,1.0,15.0,16.0,15.0,1.0,22.0,4.0,19.0,22.0,12.0,25.0,22.0,14.0,28.0,28.0,25.0,25.0,19.0,17.0,19.0,30.0,21.0,21.0,24.0,7.0,21.0,25.0,24.0,35.0
train,000_1_c10_001011,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,6.0,14.0,7.0,2.0,5.0,14.0,5.0,2.0,17.0,2.0,2.0,13.0,7.0,6.0,2.0,23.0,8.0,22.0,8.0,6.0,11.0,20.0,30.0,16.0,16.0,6.0,5.0,23.0,16.0,34.0,5.0,21.0,22.0,3.0,33.0,13.0,18.0
train,000_1_c10_001012,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,11.0,1.0,4.0,4.0,5.0,5.0,7.0,1.0,14.0,18.0,1.0,12.0,20.0,26.0,17.0,22.0,2.0,33.0,2.0,14.0,7.0,17.0,3.0,1.0,8.0
train,000_1_c10_001013,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,18.0,1.0,4.0,4.0,5.0,20.0,13.0,1.0,14.0,3.0,21.0,3.0,17.0,30.0,32.0,3.0,13.0,3.0,13.0,3.0,13.0,9.0,39.0,15.0,39.0
train,000_1_c10_001014,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,11.0,1.0,4.0,4.0,5.0,5.0,7.0,1.0,14.0,18.0,1.0,12.0,20.0,26.0,17.0,22.0,2.0,33.0,2.0,14.0,7.0,17.0,3.0,1.0,8.0
train,000_1_c10_001015,5.0,5.0,3.0,2.0,2.0,2.0,1.0,6.0,7.0,4.0,5.0,3.0,7.0,5.0,10.0,13.0,12.0,4.0,6.0,2.0,4.0,7.0,4.0,9.0,23.0,17.0,8.0,7.0,10.0,17.0,23.0,25.0,19.0,27.0,21.0,13.0,5.0,18.0,6.0,25.0,9.0,28.0,11.0,34.0,19.0,14.0,10.0,21.0
