Category,Image,Sil_5,Sil_10,Sil_20,Sil_30,Sil_40,Sil_50,Sil_60,Sil_80,Sil_100
train,000_1_c10_001003,1,6,18,13,17,33,9,78,5
train,000_1_c10_001007,1,9,13,23,9,10,39,4,3
train,000_1_c10_001008,1,9,13,23,24,10,14,10,3
train,000_1_c10_001009,1,9,1,19,1,10,1,48,16
train,000_1_c10_001010,1,6,1,13,17,36,1,78,39
train,000_1_c10_001011,1,6,8,10,9,5,38,55,68
train,000_1_c10_001012,1,9,3,5,37,28,25,49,88
train,000_1_c10_001013,1,9,1,19,4,42,41,57,16
train,000_1_c10_001014,3,4,14,18,10,17,22,51,84
train,000_1_c10_001015,1,9,1,10,9,33,41,28,84
train,000_1_c10_001016,4,1,7,19,4,24,3,25,24
train,000_1_c10_001017,4,1,7,19,4,24,3,25,24
train,000_1_c10_001018,0,2,15,14,33,11,31,53,38
train,000_1_c10_001019,1,6,13,7,24,5,38,29,75
train,000_1_c10_001020,4,1,10,26,30,26,29,25,52
train,000_1_c10_001021,4,1,10,26,21,3,2,61,58
train,000_1_c10_001022,1,6,18,27,15,44,54,73,77
train,000_1_c10_001023,4,7,7,19,4,24,30,25,42
train,000_1_c10_001024,0,7,9,6,3,16,56,58,89
train,000_1_c10_001025,3,4,2,20,16,35,24,66,33
train,000_1_c10_001026,3,4,3,20,12,5,40,29,55
train,000_1_c10_001027,1,7,8,2,30,26,29,19,68
train,000_1_c2_001004,1,5,18,27,25,27,30,69,35
train,000_1_c2_001005,0,2,6,14,20,11,37,12,0
train,000_1_c2_001028,1,9,1,23,1,10,14,10,3
train,000_1_c2_001029,3,9,3,24,12,42,0,49,55
train,000_1_c2_001030,2,5,5,17,2,49,47,68,87
train,000_1_c2_001031,1,7,1,19,1,7,1,48,7
train,000_1_c2_001032,1,9,13,23,24,12,14,37,25
train,000_1_c2_001033,1,6,13,7,24,44,40,44,30
train,000_1_c2_001034,4,9,7,19,4,24,3,25,42
train,000_1_c2_001035,1,9,3,5,37,28,25,49,88
train,000_1_c2_001036,1,4,3,29,18,28,25,4,2
train,000_1_c2_001037,1,6,18,27,15,44,7,44,77
train,000_1_c2_001038,2,5,0,9,23,49,6,64,72
train,000_1_c2_001039,0,2,15,14,29,25,22,66,14
train,000_1_c2_001040,3,4,3,24,38,42,19,57,11
train,000_1_c2_001041,1,9,1,23,37,10,14,4,3
train,000_1_c2_001042,4,1,0,28,14,37,52,76,86
train,000_1_c2_001043,4,1,10,28,21,13,2,30,48
train,000_1_c2_001044,1,4,13,29,18,5,40,44,65
train,000_1_c3_001006,2,3,14,18,39,45,58,63,6
train,000_1_c3_001045,1,9,3,5,37,28,25,4,84
train,000_1_c3_001046,1,9,3,23,37,28,39,4,84
train,000_1_c3_001047,2,5,5,24,38,42,19,57,11
train,000_1_c3_001048,4,9,12,24,38,30,53,52,51
train,000_1_c3_001049,3,8,16,12,31,20,23,54,54
train,000_1_c3_001050,3,3,16,12,35,41,36,7,41
train,000_1_c3_001051,1,7,1,22,25,7,42,15,35
train,000_1_c3_001052,3,9,8,2,19,46,0,45,79
train,000_1_c3_001053,2,0,19,8,19,39,27,7,79
train,000_1_c3_001054,3,8,16,12,35,41,36,42,41
train,000_1_c3_001055,2,3,4,15,19,45,27,7,6
train,000_1_c3_001056,3,9,3,5,37,46,0,49,79
train,000_1_c3_001057,0,5,5,17,28,43,47,64,72
train,000_1_c3_001058,1,9,14,6,6,36,1,67,93
train,000_1_c8_001059,2,0,17,16,26,9,57,39,50
train,000_1_c8_001060,1,6,14,6,17,36,8,58,62
train,000_1_c8_001061,3,4,2,29,16,35,24,1,33
train,000_1_c8_001062,2,3,4,0,36,29,27,27,21
train,000_1_c8_001063,4,1,0,28,27,22,52,15,17
train,000_1_c8_001064,4,5,9,22,25,7,42,15,35
train,000_1_c8_001065,3,4,3,29,18,6,15,77,2
train,000_1_c8_001066,4,1,10,28,21,13,2,56,17
train,000_1_c8_001067,4,5,8,2,34,46,44,34,57
train,000_1_c8_001068,2,5,5,9,23,27,20,69,43
train,000_1_c8_001069,3,4,2,29,10,17,15,8,2
train,000_1_c8_001070,4,7,9,22,13,16,33,71,44
train,000_2_c10_001071,0,2,8,4,34,34,54,76,70
train,000_2_c10_001072,0,5,18,14,29,34,55,2,28
train,000_2_c10_001075,2,3,19,20,8,42,27,65,49
train,000_2_c10_001076,1,9,3,5,37,28,25,57,88
train,000_2_c10_001077,4,1,10,26,21,3,2,61,58
train,000_2_c10_001078,1,7,9,13,13,16,1,47,22
train,000_2_c10_001079,4,9,14,6,6,4,17,18,62
train,000_2_c10_001080,2,5,0,28,27,37,4,58,86
train,000_2_c10_001081,2,5,5,9,23,49,4,68,87
train,000_2_c10_001082,1,9,1,23,1,10,1,48,16
train,000_2_c10_001083,0,2,15,14,33,11,31,53,38
train,000_2_c10_001084,1,6,13,7,24,2,38,13,98
train,000_2_c10_001085,4,1,7,11,11,40,3,25,15
train,000_2_c10_001086,0,2,8,2,12,46,54,3,97
train,000_2_c10_001087,4,9,7,19,4,24,35,67,42
train,000_2_c10_001088,2,0,17,16,26,9,4,39,23
train,000_2_c10_001089,0,7,9,4,13,16,37,74,31
train,000_2_c10_001090,4,1,7,11,13,26,33,71,44
train,000_2_c10_001091,1,6,6,14,10,25,22,53,38
train,000_2_c10_001092,0,7,9,13,13,16,56,47,22
train,000_2_c10_001093,2,4,18,27,15,44,4,23,25
train,000_2_c10_001094,4,9,3,24,0,30,53,52,88
train,000_2_c10_001095,1,7,14,13,17,36,21,78,84
train,000_2_c10_001096,0,2,15,25,7,11,31,31,32
train,000_2_c10_001097,2,5,18,27,15,44,4,23,25
train,000_2_c10_001098,1,9,14,18,39,32,58,63,60
train,000_2_c2_001073,3,0,12,1,0,30,53,52,51
train,000_2_c2_001099,0,7,6,17,28,0,42,47,63
train,000_2_c2_001100,1,7,1,13,25,7,9,60,35
train,000_2_c2_001101,3,9,3,24,38,42,19,57,11
train,000_2_c2_001102,3,3,19,20,19,14,27,66,84
train,000_2_c2_001103,2,5,5,17,2,12,4,37,43
train,000_2_c2_001104,2,9,19,8,19,31,27,7,79
train,000_2_c2_001105,0,5,5,17,25,31,55,2,14
train,000_2_c2_001106,3,0,19,0,8,39,34,14,9
train,000_2_c2_001107,0,2,15,25,7,11,31,33,26
train,000_2_c2_001108,4,1,10,24,0,30,53,52,51
