Category,Image,<32,32-64,64-128,128-256,>256
query,001_1_c11_015833.png,0,0,0,0,1
query,001_1_c4_015861.png,0,1,0,0,0
query,001_1_c5_015874.png,0,0,0,1,0
query,001_1_c6_015885.png,0,0,1,0,0
query,001_1_c9_015888.png,0,0,1,0,0
query,006_1_c4_000144.png,0,0,1,0,0
query,006_1_c9_000151.png,0,0,1,0,0
query,006_2_c9_000161.png,0,0,1,0,0
query,006_3_c9_000166.png,0,0,0,1,0
query,008_1_c6_013679.png,0,1,0,0,0
query,008_2_c6_013718.png,0,0,1,0,0
query,008_3_c11_013726.png,0,0,0,1,0
query,009_1_c12_005191.png,0,0,0,0,1
query,009_1_c1_005220.png,0,0,0,0,1
query,009_1_c7_005235.png,0,0,0,1,0
query,009_2_c12_005248.png,0,0,0,1,0
query,009_2_c1_005260.png,0,0,0,1,0
query,009_2_c7_005265.png,0,0,1,0,0
query,009_3_c12_005287.png,0,0,1,0,0
query,009_3_c1_005302.png,0,0,0,1,0
query,009_3_c5_005328.png,0,0,1,0,0
query,009_3_c7_005357.png,0,1,0,0,0
query,009_4_c12_005366.png,0,0,0,1,0
query,009_4_c5_005371.png,0,0,1,0,0
query,011_1_c11_001807.png,0,0,0,1,0
query,011_1_c4_001813.png,0,0,1,0,0
query,011_2_c11_001818.png,0,0,1,0,0
query,011_2_c6_001825.png,0,1,0,0,0
query,011_3_c11_001833.png,0,0,0,1,0
query,011_3_c6_001846.png,0,0,0,1,0
query,011_3_c9_001850.png,0,0,1,0,0
query,012_1_c11_016863.png,0,0,1,0,0
query,012_1_c4_016887.png,0,1,0,0,0
query,012_1_c9_016921.png,0,0,1,0,0
query,014_1_c11_016574.png,0,1,0,0,0
query,014_1_c4_016578.png,0,0,1,0,0
query,014_1_c9_016587.png,0,0,1,0,0
query,016_1_c2_004319.png,0,1,0,0,0
query,016_1_c3_004332.png,0,0,1,0,0
query,016_2_c10_004333.png,0,0,1,0,0
query,016_2_c2_004349.png,0,0,0,1,0
query,016_3_c10_004355.png,0,0,1,0,0
query,016_3_c2_004375.png,0,0,0,1,0
query,016_3_c3_004393.png,0,0,1,0,0
query,016_4_c10_004400.png,0,0,1,0,0
query,016_4_c8_004403.png,0,0,1,0,0
query,017_1_c11_007474.png,0,0,0,1,0
query,017_1_c4_007549.png,0,0,1,0,0
query,017_1_c5_007561.png,0,0,0,1,0
query,017_1_c6_007585.png,0,0,1,0,0
query,017_1_c9_007659.png,0,0,0,1,0
query,017_2_c11_007670.png,0,0,1,0,0
query,017_2_c4_007679.png,0,0,1,0,0
query,017_2_c5_007683.png,0,0,1,0,0
query,017_2_c6_007684.png,0,1,0,0,0
query,017_2_c9_007696.png,0,0,1,0,0
query,017_3_c11_007767.png,0,0,1,0,0
query,017_3_c12_007728.png,0,1,0,0,0
query,017_3_c4_007804.png,0,0,1,0,0
query,017_3_c5_007826.png,0,0,0,1,0
query,017_3_c6_007855.png,0,1,0,0,0
query,017_3_c7_007861.png,0,1,0,0,0
query,017_3_c9_007946.png,0,0,1,0,0
query,017_4_c9_007984.png,0,0,1,0,0
query,019_1_c11_016791.png,0,0,1,0,0
query,019_1_c6_016795.png,0,1,0,0,0
query,020_1_c1_011961.png,0,1,0,0,0
query,020_1_c5_011998.png,0,0,1,0,0
query,020_2_c12_012021.png,0,0,0,1,0
query,020_2_c1_012089.png,0,0,0,1,0
query,020_2_c5_012127.png,0,1,0,0,0
query,020_2_c7_012157.png,0,1,0,0,0
query,020_3_c12_012161.png,0,0,0,1,0
query,020_3_c1_012170.png,0,0,0,1,0
query,020_4_c12_012183.png,0,0,0,1,0
query,020_4_c1_012186.png,0,0,0,1,0
query,020_5_c12_012206.png,0,0,1,0,0
query,020_5_c1_012210.png,0,0,0,0,1
query,023_1_c11_014787.png,0,0,0,1,0
query,023_1_c4_014792.png,0,0,1,0,0
query,024_1_c5_004923.png,0,0,1,0,0
query,024_1_c6_004940.png,0,1,0,0,0
query,024_2_c6_004942.png,0,1,0,0,0
query,024_2_c9_004950.png,0,0,1,0,0
query,025_10_c6_008075.png,0,0,0,1,0
query,025_11_c6_008094.png,0,1,0,0,0
