Category,ID,Gender
train,2,1
train,4,0
train,8,0
train,9,1
train,10,0
train,15,0
train,16,0
train,17,1
train,18,1
train,20,0
train,21,0
train,22,0
train,23,0
train,24,0
train,25,0
train,29,1
train,30,0
train,31,0
train,32,1
train,37,1
train,39,1
train,40,0
train,41,0
train,42,0
train,43,1
train,48,1
train,49,1
train,50,0
train,51,1
train,53,1
train,54,1
train,57,1
train,61,1
train,62,1
train,64,0
train,67,1
train,69,1
train,70,1
train,73,0
train,74,0
train,75,0
train,80,1
train,82,1
train,83,0
train,84,1
train,86,1
train,87,0
train,88,1
train,89,1
train,94,1
train,97,1
train,100,1
train,102,1
train,103,1
train,104,1
train,108,0
train,109,0
train,110,0
train,111,1
train,112,1
train,114,1
train,115,0
train,117,1
train,118,1
train,119,1
train,123,0
train,125,0
train,130,0
train,133,0
train,134,0
train,135,0
train,136,1
train,138,1
train,139,1
train,140,1
train,143,0
train,147,0
train,149,1
train,150,1
train,153,1
train,154,0
train,155,0
train,159,0
train,160,0
train,161,1
train,162,1
train,163,1
train,164,0
train,167,0
train,168,0
train,170,1
train,174,1
train,175,1
train,177,1
train,190,0
train,191,1
train,192,1
train,193,1
train,196,1
train,199,1
train,200,1
train,202,1
train,203,1
train,206,0
train,209,1
train,217,1
train,218,1
train,222,1
train,223,1
train,225,1
train,229,0
train,230,0
train,231,0
train,233,1
train,237,1
train,238,1
train,239,0
train,240,0
train,241,0
train,244,1
train,247,0
train,248,1
train,252,1
train,257,0
train,258,0
train,260,0
train,261,1
train,266,1
train,268,1
train,269,1
train,270,1
train,271,1
train,273,0
train,274,0
train,276,0
train,277,0
train,279,0
train,281,1
train,282,0
train,284,0
train,286,0
train,289,0
train,290,1
train,292,1
train,298,0
train,302,0
train,304,0
train,308,0
train,313,1
train,317,1
train,318,1
train,320,1
train,321,1
train,323,0
train,326,0
train,327,1
train,328,0
train,332,0
train,335,0
train,336,0
train,337,1
train,342,1
train,344,0
train,354,1
train,362,0
train,363,1
train,365,1
train,367,1
train,368,1
train,372,0
train,375,0
train,379,0
train,380,1
train,382,0
train,384,1
train,386,1
train,387,1
train,389,1
train,391,0
train,392,1
train,394,1
train,397,1
train,399,1
train,400,1
train,401,1
train,403,0
train,404,0
train,405,0
train,407,0
train,409,1
train,413,1
train,414,1
train,415,1
train,417,1
train,418,1
train,420,0
train,421,1
train,424,0
train,425,1
train,426,0
train,427,0
train,428,0
train,429,0
train,433,0
train,435,0
train,436,1
train,439,0
train,442,0
train,445,0
train,450,0
train,451,0
train,452,0
train,453,0
train,455,0
train,457,1
train,458,0
train,459,1
train,461,1
train,463,1
train,467,1
train,471,1
train,476,0
train,477,0
train,481,1
train,486,1
train,487,1
train,489,0
train,491,1
train,493,0
train,497,0
train,498,0
train,503,0
train,505,0
train,507,1
train,512,0
train,516,0
train,521,1
train,528,0
train,531,1
train,534,1
train,535,1
train,539,1
train,540,1
train,541,1
train,545,1
train,546,1
train,553,1
train,558,0
train,563,1
train,566,0
train,567,0
train,568,0
train,571,1
train,572,1
train,574,1
train,575,1
train,577,1
train,588,1
train,593,0
train,594,0
train,595,1
train,596,0
train,601,0
train,605,0
train,606,0
train,607,0
train,608,1
train,609,0
train,610,0
train,612,1
train,613,1
train,619,1
train,625,1
train,630,1
train,635,1
train,636,0
train,637,1
train,645,1
train,648,1
train,649,0
train,650,1
train,651,0
train,652,0
train,654,1
train,656,1
train,659,1
train,661,1
train,662,1
