Category,ID,Gender
train,092,1
train,095,1
train,098,1
train,102,1
train,104,1
train,107,1
train,108,0
train,109,1
train,110,1
train,111,1
train,113,1
train,114,1
train,115,0
train,119,1
train,121,1
train,122,0
train,123,1
train,124,1
train,125,1
train,126,1
train,127,1
train,128,0
train,143,1
train,147,0
train,149,1
train,150,1
train,151,1
train,154,1
train,155,1
train,157,0
train,158,1
train,160,0
train,163,0
train,164,1
train,165,1
train,168,1
train,169,0
train,170,1
train,171,1
train,172,0
train,174,1
train,175,1
train,177,1
train,178,1
train,179,1
train,180,1
train,181,0
train,184,0
train,185,1
train,189,1
train,190,1
train,193,1
train,194,0
train,197,0
train,198,0
train,199,0
train,200,1
train,201,1
train,203,1
train,204,0
train,205,1
train,206,1
train,207,0
train,208,0
train,209,0
train,211,0
train,213,0
train,215,0
train,217,0
train,218,0
train,220,0
train,221,0
train,222,1
train,224,0
train,225,0
train,226,0
train,227,0
train,228,1
train,229,0
train,231,1
train,232,1
train,234,0
train,235,1
train,237,0
train,240,0
train,243,0
train,244,0
train,245,1
train,246,0
train,247,0
train,248,1
train,249,1
train,250,1
train,251,1
train,252,0
train,253,1
train,254,1
train,255,0
train,256,0
train,258,0
train,259,0
train,261,0
train,262,0
train,266,1
train,267,0
train,268,0
train,269,0
train,270,0
train,271,0
train,273,0
train,274,0
train,276,0
train,277,1
train,278,1
train,280,0
train,281,0
train,283,1
train,284,1
train,285,1
train,286,1
train,287,1
train,288,0
train,289,0
train,290,1
train,291,0
train,292,0
train,293,0
train,294,0
train,295,0
train,296,0
train,297,0
train,298,0
train,299,1
train,300,1
train,301,1
train,302,0
train,310,1
train,311,1
train,312,1
train,313,1
train,314,0
train,315,0
train,316,0
train,317,0
train,318,0
train,327,0
train,329,0
train,330,0
train,331,0
train,332,0
