Category,Image,<32,32-64,64-128,128-256,>256
train,092/B_cropped_rgb118.jpg,0,0,0,1,0
train,092/A_cropped_rgb001.jpg,0,0,1,0,0
train,092/B_cropped_rgb127.jpg,0,0,1,0,0
train,092/A_cropped_rgb004.jpg,0,0,1,0,0
train,092/B_cropped_rgb121.jpg,0,0,1,0,0
train,092/A_cropped_rgb007.jpg,0,0,1,0,0
train,092/B_cropped_rgb133.jpg,0,0,1,0,0
train,092/A_cropped_rgb010.jpg,0,0,1,0,0
train,092/B_cropped_rgb136.jpg,0,0,1,0,0
train,092/A_cropped_rgb013.jpg,0,0,1,0,0
train,092/B_cropped_rgb139.jpg,0,0,1,0,0
train,092/A_cropped_rgb016.jpg,0,0,1,0,0
train,092/B_cropped_rgb163.jpg,0,0,0,1,0
train,092/A_cropped_rgb019.jpg,0,0,1,0,0
train,092/B_cropped_rgb166.jpg,0,0,0,1,0
train,092/A_cropped_rgb022.jpg,0,0,1,0,0
train,092/B_cropped_rgb169.jpg,0,0,0,1,0
train,092/A_cropped_rgb025.jpg,0,0,1,0,0
train,092/B_cropped_rgb172.jpg,0,0,0,1,0
train,092/A_cropped_rgb028.jpg,0,0,1,0,0
train,092/B_cropped_rgb176.jpg,0,0,0,1,0
train,092/A_cropped_rgb035.jpg,0,0,1,0,0
train,092/B_cropped_rgb177.jpg,0,0,0,1,0
train,092/A_cropped_rgb037.jpg,0,0,1,0,0
train,092/B_cropped_rgb199.jpg,0,0,0,1,0
train,092/A_cropped_rgb040.jpg,0,0,1,0,0
train,092/B_cropped_rgb206.jpg,0,0,0,1,0
train,092/A_cropped_rgb046.jpg,0,0,1,0,0
train,092/B_cropped_rgb227.jpg,0,0,1,0,0
train,092/A_cropped_rgb055.jpg,0,0,1,0,0
train,092/B_cropped_rgb292.jpg,0,0,1,0,0
train,092/A_cropped_rgb058.jpg,0,0,1,0,0
train,092/B_cropped_rgb295.jpg,0,0,1,0,0
train,092/A_cropped_rgb067.jpg,0,0,1,0,0
train,092/B_cropped_rgb298.jpg,0,0,1,0,0
train,092/A_cropped_rgb070.jpg,0,0,1,0,0
train,092/B_cropped_rgb301.jpg,0,0,1,0,0
train,092/A_cropped_rgb090.jpg,0,0,1,0,0
train,092/B_cropped_rgb304.jpg,0,0,1,0,0
train,092/A_cropped_rgb154.jpg,0,0,1,0,0
train,092/B_cropped_rgb307.jpg,0,0,1,0,0
train,092/A_cropped_rgb172.jpg,0,0,1,0,0
train,092/B_cropped_rgb310.jpg,0,0,1,0,0
train,092/A_cropped_rgb173.jpg,0,0,1,0,0
train,092/B_cropped_rgb313.jpg,0,0,1,0,0
train,092/A_cropped_rgb181.jpg,0,0,1,0,0
train,092/B_cropped_rgb322.jpg,0,0,0,1,0
train,092/A_cropped_rgb190.jpg,0,0,1,0,0
train,092/B_cropped_rgb328.jpg,0,0,0,1,0
train,092/A_cropped_rgb193.jpg,0,0,1,0,0
train,092/B_cropped_rgb331.jpg,0,0,0,1,0
train,092/A_cropped_rgb196.jpg,0,0,1,0,0
train,092/B_cropped_rgb334.jpg,0,0,0,1,0
train,092/A_cropped_rgb199.jpg,0,0,1,0,0
train,092/B_cropped_rgb380.jpg,0,0,0,0,1
train,092/A_cropped_rgb202.jpg,0,0,1,0,0
train,092/C_cropped_rgb001.jpg,0,0,1,0,0
train,092/A_cropped_rgb205.jpg,0,0,1,0,0
train,092/C_cropped_rgb007.jpg,0,0,1,0,0
train,092/A_cropped_rgb208.jpg,0,0,1,0,0
train,092/C_cropped_rgb016.jpg,0,0,1,0,0
train,092/A_cropped_rgb217.jpg,0,0,1,0,0
train,092/C_cropped_rgb019.jpg,0,0,1,0,0
train,092/A_cropped_rgb226.jpg,0,0,1,0,0
train,092/C_cropped_rgb022.jpg,0,0,1,0,0
train,092/A_cropped_rgb232.jpg,0,0,1,0,0
train,092/C_cropped_rgb025.jpg,0,0,1,0,0
train,092/A_cropped_rgb238.jpg,0,0,1,0,0
train,092/C_cropped_rgb031.jpg,0,0,1,0,0
train,092/A_cropped_rgb361.jpg,0,0,1,0,0
train,092/C_cropped_rgb034.jpg,0,0,1,0,0
train,092/A_cropped_rgb364.jpg,0,0,1,0,0
train,092/C_cropped_rgb037.jpg,0,0,1,0,0
train,092/A_cropped_rgb370.jpg,0,0,1,0,0
train,092/C_cropped_rgb040.jpg,0,0,1,0,0
train,092/A_cropped_rgb373.jpg,0,0,1,0,0
train,092/C_cropped_rgb046.jpg,0,0,1,0,0
train,092/A_cropped_rgb376.jpg,0,0,1,0,0
train,092/C_cropped_rgb049.jpg,0,0,1,0,0
train,092/A_cropped_rgb415.jpg,0,0,1,0,0
train,092/C_cropped_rgb052.jpg,0,0,1,0,0
train,092/A_cropped_rgb418.jpg,0,0,1,0,0
train,092/C_cropped_rgb055.jpg,0,0,1,0,0
train,092/A_cropped_rgb421.jpg,0,0,1,0,0
train,092/C_cropped_rgb064.jpg,0,0,1,0,0
train,092/A_cropped_rgb467.jpg,0,0,0,1,0
train,092/C_cropped_rgb067.jpg,0,0,1,0,0
train,092/B_cropped_rgb012.jpg,0,0,0,1,0
train,092/C_cropped_rgb070.jpg,0,0,1,0,0
train,092/B_cropped_rgb024.jpg,0,0,0,1,0
train,092/C_cropped_rgb076.jpg,0,0,1,0,0
train,092/B_cropped_rgb066.jpg,0,0,1,0,0
train,092/C_cropped_rgb079.jpg,0,0,1,0,0
train,092/B_cropped_rgb092.jpg,0,0,1,0,0
train,092/C_cropped_rgb082.jpg,0,0,1,0,0
train,092/B_cropped_rgb112.jpg,0,0,1,0,0
train,092/C_cropped_rgb085.jpg,0,0,1,0,0
train,092/B_cropped_rgb115.jpg,0,0,1,0,0
train,092/B_cropped_rgb142.jpg,0,0,1,0,0
train,092/C_cropped_rgb088.jpg,0,0,1,0,0
train,092/B_cropped_rgb145.jpg,0,0,1,0,0
train,092/C_cropped_rgb091.jpg,0,0,1,0,0
train,092/B_cropped_rgb148.jpg,0,0,0,1,0
train,092/C_cropped_rgb094.jpg,0,0,1,0,0
train,092/B_cropped_rgb149.jpg,0,0,0,1,0
train,092/C_cropped_rgb100.jpg,0,0,1,0,0
train,092/B_cropped_rgb154.jpg,0,0,0,1,0
train,092/C_cropped_rgb106.jpg,0,0,1,0,0
train,092/B_cropped_rgb157.jpg,0,0,0,1,0
train,092/C_cropped_rgb109.jpg,0,0,1,0,0
train,092/C_cropped_rgb126.jpg,0,0,1,0,0
train,092/C_cropped_rgb143.jpg,0,0,0,1,0
train,092/C_cropped_rgb180.jpg,0,0,1,0,0
train,092/C_cropped_rgb256.jpg,0,0,1,0,0
train,092/C_cropped_rgb262.jpg,0,0,0,1,0
train,092/C_cropped_rgb305.jpg,0,0,1,0,0
train,092/C_cropped_rgb324.jpg,0,0,1,0,0
train,092/C_cropped_rgb390.jpg,0,0,1,0,0
train,092/C_cropped_rgb500.jpg,0,0,0,1,0
train,092/C_cropped_rgb544.jpg,0,0,1,0,0
train,095/A_cropped_rgb586.jpg,0,0,1,0,0
train,095/A_cropped_rgb001.jpg,0,0,1,0,0
train,095/A_cropped_rgb598.jpg,0,0,0,1,0
train,095/A_cropped_rgb004.jpg,0,0,1,0,0
train,095/A_cropped_rgb595.jpg,0,0,1,0,0
train,095/A_cropped_rgb007.jpg,0,0,1,0,0
train,095/A_cropped_rgb601.jpg,0,0,0,1,0
train,095/A_cropped_rgb013.jpg,0,0,1,0,0
train,095/A_cropped_rgb607.jpg,0,0,0,1,0
train,095/A_cropped_rgb016.jpg,0,0,1,0,0
